source,target,importance
VIM,ACTB,0.5510600131003027
TUBA1B,ACTB,0.5586343175494887
ACTG1,ACTB,0.7082953070006496
ACTB,ACTB,0.9999999999999978
ACTC1,ACTC1,1.0
TMSB4X,ACTG1,0.40147749726897114
HMGB1,ACTG1,0.406188298166578
SEC61G,ACTG1,0.41381338552959757
HSPB1,ACTG1,0.4175095389072544
TUBB,ACTG1,0.43058596686128453
CALM2,ACTG1,0.446380773211339
TUBA1B,ACTG1,0.45491937034003127
MYL9,ACTG1,0.46611153446540643
TPM4,ACTG1,0.4702371687954833
TAGLN,ACTG1,0.47915618070379834
C12orf75,ACTG1,0.48668242418331165
TPM2,ACTG1,0.48979433670140954
TPM1,ACTG1,0.49747309159222375
VIM,ACTG1,0.5418477968229344
ACTB,ACTG1,0.7082953070006496
ACTG1,ACTG1,1.0
ACTG2,ACTG2,0.999999999999891
ACTN1-DT,ACTN1-DT,0.9999999999999322
ACTR3B,ACTR3B,1.0
ACTR3C,ACTR3C,1.0
ACTR8,ACTR8,1.0
ACVR1,ACVR1,1.0
ACVR1B,ACVR1B,1.0
ACVR2A,ACVR2A,0.9999999999999409
ACVR2B,ACVR2B,0.9999999999999283
ACVR2B-AS1,ACVR2B-AS1,0.9999999999999257
ACVRL1,ACVRL1,1.0
ACYP1,ACYP1,0.9999999999998892
ACYP2,ACYP2,0.9999999999998599
ADA,ADA,1.0
ADAM10,ADAM10,1.0
ADAM12,ADAM12,1.0
ADAM17,ADAM17,1.0
ADAM19,ADAM19,1.0
ADAM20P1,ADAM20P1,0.9999999999999003
ADAM21,ADAM21,0.9999999999996804
ADAM23,ADAM23,1.0
ADAM28,ADAM28,0.9999999999998794
ADAM32,ADAM32,1.0
ADAM33,ADAM33,1.0
CALD1,ADAMTS1,0.402073384981888
LUM,ADAMTS1,0.4080664022989689
CEMIP,ADAMTS1,0.41675340755339796
DCN,ADAMTS1,0.4264979247097818
THBS1,ADAMTS1,0.4301570656560092
TNFRSF11B,ADAMTS1,0.43553861612496136
DKK1,ADAMTS1,0.4364996301099511
ADAMTS1,ADAMTS1,0.9999999999999795
ADAMTS10,ADAMTS10,1.0
ADAMTS12,ADAMTS12,0.9999999999998951
ADAMTS14,ADAMTS14,0.9999999999997752
ADAMTS15,ADAMTS15,1.0
ADAMTS2,ADAMTS2,0.9999999999998634
ADAMTS3,ADAMTS3,0.999999999999937
ADAMTS4,ADAMTS4,1.0
ADAMTS5,ADAMTS5,0.9999999999999017
KIRREL3,ADAMTS6,0.40990800608064265
S100A6,ADAMTS6,0.45113765361939157
ADAMTS6,ADAMTS6,0.9999999999999456
ADAMTS7,ADAMTS7,0.9999999999998169
ADAMTS9,ADAMTS9,0.9999999999999677
ADAMTS9-AS2,ADAMTS9-AS2,0.9999999999998523
ADAMTSL1,ADAMTSL1,0.9999999999997974
ADAMTSL4,ADAMTSL4,0.9999999999999811
ADAMTSL4-AS2,ADAMTSL4-AS2,0.9999999999998234
ADAMTSL5,ADAMTSL5,1.0
ADAP1,ADAP1,1.0
ADAP2,ADAP2,0.9999999999993523
ADARB1,ADARB1,0.9999999999998397
ADAT2,ADAT2,1.0
ADCK1,ADCK1,0.9999999999999142
ADCY10,ADCY10,1.0
ADCY10P1,ADCY10P1,1.0
ADCY3,ADCY3,1.0
ADCY4,ADCY4,1.0
ADCY6,ADCY6,0.9999999999995862
ADCY7,ADCY7,1.0
ADCY9,ADCY9,0.9999999999998987
ADD1,ADD1,0.999999999999988
ADD3,ADD3,1.0
ADGRA2,ADGRA2,0.999999999999908
ADGRA3,ADGRA3,0.9999999999997395
ADGRD1,ADGRD1,0.9999999999998163
ADGRE2,ADGRE2,0.9999999999998623
ADGRE5,ADGRE5,0.999999999999871
ADGRF3,ADGRF3,0.9999999999998666
ADGRG2,ADGRG2,0.9999999999998386
ADGRG6,ADGRG6,1.0
ADGRL1,ADGRL1,1.0
ADGRL1-AS1,ADGRL1-AS1,1.0
ADGRL2,ADGRL2,1.0
ADGRL4,ADGRL4,1.0
ADGRV1,ADGRV1,0.9999999999999236
ADH1B,ADH1B,0.9999999999997142
ADH4,ADH4,1.0
ADH6,ADH6,0.9999999999999654
ADHFE1,ADHFE1,0.9999999999997466
S100A10,ADIRF,0.41755625175301697
S100A4,ADIRF,0.4238445816947356
S100A6,ADIRF,0.4336249134824168
ADIRF,ADIRF,1.0
ADIRF-AS1,ADIRF-AS1,0.9999999999999096
PVT1,ADK,0.4048122843698398
NEAT1,ADK,0.4068255703895774
MAGI1,ADK,0.4212814649242854
ISG15,ADK,0.4435766045422631
ADK,ADK,1.0
TNFRSF11B,ADM,0.4042384337020268
LUM,ADM,0.41272421510294877
DCN,ADM,0.42274473933334705
THBS1,ADM,0.4252804882736171
ADM,ADM,0.9999999999998799
ADM-DT,ADM-DT,1.0
ADNP,ADNP,0.9999999999998023
ADNP-AS1,ADNP-AS1,1.0
ADORA2A,ADORA2A,0.9999999999999519
ADPRHL1,ADPRHL1,0.999999999999873
ADRB2,ADRB2,1.0
GREM1,AEBP1,0.5114611621399343
LUM,AEBP1,0.5116037726864776
CTSK,AEBP1,0.5171015572708008
IFIT1,AEBP1,0.5174812289025508
EPSTI1,AEBP1,0.5238050459526131
FLNB,AEBP1,0.5243178810710133
COL6A2,AEBP1,0.528868495771754
SLC12A8,AEBP1,0.538359438949483
KRT18,AEBP1,0.5402504519799024
IFIT3,AEBP1,0.5407921505245882
ISG15,AEBP1,0.5523503484757125
IFITM1,AEBP1,0.5543987732432614
THBS1,AEBP1,0.5546784234786041
LY6E,AEBP1,0.5585067740150482
STAT1,AEBP1,0.560014033842446
MX1,AEBP1,0.5629510386679341
MGP,AEBP1,0.5735755593055466
IFI16,AEBP1,0.5806929070453243
DCN,AEBP1,0.6069197395180382
IFI6,AEBP1,0.6351559267856369
AEBP1,AEBP1,1.0
AEBP2,AEBP2,1.0
AFAP1,AFAP1,1.0
AFDN,AFDN,1.0
ABTB2,AFF1,0.40222787649721103
SLC12A8,AFF1,0.4074221015918631
NEAT1,AFF1,0.4303331872893996
ISG15,AFF1,0.43200777048312344
AFF1,AFF1,0.9999999999999651
AFF2,AFF2,0.999999999999614
MAML2,AFF3,0.4033632731917921
KIF26B,AFF3,0.4306067337095928
AFF3,AFF3,0.9999999999999514
AFF4,AFF4,1.0
AFG1L,AFG1L,1.0
AGA-DT,AGA-DT,1.0
AGAP1,AGAP1,0.9999999999999092
AGAP2,AGAP2,0.9999999999998056
AGAP3,AGAP3,0.9999999999997932
AGAP4,AGAP4,1.0
AGAP5,AGAP5,1.0
AGAP6,AGAP6,1.0
AGAP9,AGAP9,0.9999999999996795
AGBL3,AGBL3,1.0
AGBL5,AGBL5,1.0
AGER,AGER,0.999999999999957
AGFG1,AGFG1,0.9999999999998854
AGK-DT,AGK-DT,1.0
AGO1,AGO1,0.9999999999997468
AGO2,AGO2,0.9999999999998919
AGO3,AGO3,1.0
AGO4,AGO4,0.9999999999998994
AGPAT4,AGPAT4,1.0
AGPAT5,AGPAT5,1.0
AGRN,AGRN,0.9999999999999339
AGT,AGT,1.0
AGTPBP1,AGTPBP1,0.9999999999998396
PVT1,AHCYL2,0.4045130130460086
CENPT,AHCYL2,0.4072575645932997
ABTB2,AHCYL2,0.41735276446162445
MAGI1,AHCYL2,0.4182364975365113
ISG15,AHCYL2,0.430509179959114
SLC12A8,AHCYL2,0.4323852477868778
NEAT1,AHCYL2,0.4404649733677993
AHCYL2,AHCYL2,1.0
AHDC1,AHDC1,0.9999999999998727
AHI1,AHI1,0.9999999999998874
AHI1-DT,AHI1-DT,1.0
MGP,AHNAK,0.41422403472664243
TPST2,AHNAK,0.41613918958174273
SLC44A1,AHNAK,0.4171234767390007
CLU,AHNAK,0.4204032554984595
KRT18,AHNAK,0.422924351029899
AHNAK2,AHNAK,0.42401931792366426
ISG15,AHNAK,0.42525462719796103
SLC12A8,AHNAK,0.4262371154444412
FLNB,AHNAK,0.4509080141959631
AHNAK,AHNAK,1.0
ISG15,AHNAK2,0.5746929977417357
CFB,AHNAK2,0.5766456152465171
CALD1,AHNAK2,0.5790900154300626
ABTB2,AHNAK2,0.5841940498705073
IFI16,AHNAK2,0.5845595944164036
CENPT,AHNAK2,0.5848450677952346
MIAT,AHNAK2,0.5868564475379815
KRT19,AHNAK2,0.5903392670492374
NEBL,AHNAK2,0.5938826897621595
DCN,AHNAK2,0.6053277622224918
LINC00842,AHNAK2,0.6150767213422523
RBP1,AHNAK2,0.625842435067788
SLC44A1,AHNAK2,0.6355557844435658
IFI6,AHNAK2,0.6388540195251033
TPST2,AHNAK2,0.6466385550265027
MGP,AHNAK2,0.6712940150552259
FLNB,AHNAK2,0.6731177614661086
CLU,AHNAK2,0.6757780766588393
KRT18,AHNAK2,0.68324582978523
SLC12A8,AHNAK2,0.6928724226487315
AHNAK2,AHNAK2,1.0
AHR,AHR,0.9999999999997946
AHRR,AHRR,0.9999999999998624
AIFM2,AIFM2,0.9999999999998199
AIFM3,AIFM3,0.9999999999998278
AIM2,AIM2,0.9999999999995762
AJAP1,AJAP1,0.9999999999999358
AJUBA-DT,AJUBA-DT,0.9999999999998592
AK5,AK5,1.0
AK8,AK8,1.0
AK9,AK9,0.9999999999997448
AKAP10,AKAP10,0.9999999999998461
AKAP12,AKAP12,1.0
NEBL,AKAP13,0.475502650478297
ABTB2,AKAP13,0.47567421942360394
DOCK5,AKAP13,0.4758148096487114
EPSTI1,AKAP13,0.4802701277350757
MGP,AKAP13,0.48062853446109444
HIPK2,AKAP13,0.48632133326499843
DLG1,AKAP13,0.4900632211573786
IFIT1,AKAP13,0.49027255776925893
MX1,AKAP13,0.49719592318136413
IFIT3,AKAP13,0.4972698590462104
IFITM1,AKAP13,0.49831643999021663
SLC12A8,AKAP13,0.5027462993360031
PVT1,AKAP13,0.504513170841252
MRTFA,AKAP13,0.5121221074669062
IFI6,AKAP13,0.5155207592651709
IFI16,AKAP13,0.5188716867381602
IFITM3,AKAP13,0.5222527097580031
MAGI1,AKAP13,0.524203543353385
NEAT1,AKAP13,0.5256673893157058
ISG15,AKAP13,0.57183168012974
AKAP13,AKAP13,1.0
AKAP3,AKAP3,0.9999999999998288
AKAP6,AKAP6,1.0
AKAP7,AKAP7,0.9999999999999609
AKAP8,AKAP8,0.9999999999998854
AKAP9,AKAP9,0.9999999999999212
AKNA,AKNA,1.0
AKR1B1,AKR1B1,1.0
AKR1C1,AKR1C1,1.0
AKR1C2,AKR1C2,1.0
AKR1C3,AKR1C3,0.9999999999999886
AKR1D1,AKR1D1,0.9999999999999648
AKR1E2,AKR1E2,1.0
AKT3,AKT3,0.9999999999998779
ALAS1,ALAS1,1.0
COL4A1,ALCAM,0.44210389491839075
EIF2AK2,ALCAM,0.4437280985327906
TPM4,ALCAM,0.44414275909447753
GBP1,ALCAM,0.44424184930799837
IFI6,ALCAM,0.4470758190332786
SP110,ALCAM,0.44782200200604816
ANP32B,ALCAM,0.44867486191948436
PLSCR1,ALCAM,0.4542622752769808
MT-ND4L,ALCAM,0.4605713171114937
SAMD9,ALCAM,0.46259802644212145
MT-ATP8,ALCAM,0.4668170435555874
STAT1,ALCAM,0.47036686579795295
IFI16,ALCAM,0.47502331079263366
EPSTI1,ALCAM,0.4770488860196025
HSP90B1,ALCAM,0.49252740766998626
IFIT1,ALCAM,0.5065386595011586
ISG15,ALCAM,0.5072113713741734
VIM,ALCAM,0.508949929203111
MX1,ALCAM,0.5276136491335841
IFIT3,ALCAM,0.539842449919414
ALCAM,ALCAM,1.0
ALDH1A1,ALDH1A1,0.99999999999994
ALDH1A2,ALDH1A2,0.9999999999999646
HIPK2,ALDH1A3,0.40844660586589193
ABTB2,ALDH1A3,0.41416424999527296
NEBL,ALDH1A3,0.4169483721327359
CALD1,ALDH1A3,0.4173937223012535
CFB,ALDH1A3,0.41744472552163314
PRUNE2,ALDH1A3,0.41803143146152844
IFI16,ALDH1A3,0.41959823752268754
DCN,ALDH1A3,0.4310028466493298
KRT19,ALDH1A3,0.43299636302947553
LINC00842,ALDH1A3,0.43828552947801175
SLC44A1,ALDH1A3,0.44528414279950196
RBP1,ALDH1A3,0.44620282080416035
IFI6,ALDH1A3,0.45081648979204514
TPST2,ALDH1A3,0.4543860134233381
AHNAK2,ALDH1A3,0.45946236936212914
MGP,ALDH1A3,0.4701208469065571
FLNB,ALDH1A3,0.4771985145383161
CLU,ALDH1A3,0.4839132233328564
SLC12A8,ALDH1A3,0.48627248612654833
KRT18,ALDH1A3,0.4897356137074619
ALDH1A3,ALDH1A3,0.9999999999998653
ALDH1L2,ALDH1L2,0.9999999999999258
ALDH2,ALDH2,0.9999999999999565
ALDH6A1,ALDH6A1,0.999999999999738
ALDH7A1,ALDH7A1,0.9999999999999529
ALDH8A1,ALDH8A1,0.999999999999792
ALDOC,ALDOC,1.0
ALG13,ALG13,1.0
ALG1L2,ALG1L2,0.9999999999998395
ALG9,ALG9,0.9999999999999251
ALK,ALK,1.0
ALKAL2,ALKAL2,1.0
ALKBH1,ALKBH1,0.9999999999998945
ALKBH3,ALKBH3,0.9999999999998613
ALMS1,ALMS1,0.9999999999997048
ALMS1-IT1,ALMS1-IT1,0.9999999999998075
ALOX12,ALOX12,0.9999999999997496
ALOX12-AS1,ALOX12-AS1,1.0
ALOX12P2,ALOX12P2,1.0
ALPK1,ALPK1,0.9999999999998838
ALPK2,ALPK2,0.9999999999999388
ALS2,ALS2,1.0
ALS2CL,ALS2CL,1.0
ALX3,ALX3,1.0
ALX4,ALX4,1.0
AMBP,AMBP,0.9999999999999729
AMDHD1,AMDHD1,1.0
AMDHD2,AMDHD2,1.0
AMIGO2,AMIGO2,1.0
AMMECR1,AMMECR1,1.0
AMMECR1L,AMMECR1L,1.0
AMOT,AMOT,1.0
AMOTL1,AMOTL1,0.9999999999997662
AMOTL2,AMOTL2,1.0
AMPD2,AMPD2,1.0
AMPD3,AMPD3,1.0
AMPH,AMPH,1.0
AMT,AMT,1.0
AMY2B,AMY2B,0.9999999999999377
AMZ1,AMZ1,0.9999999999998959
ANAPC1,ANAPC1,1.0
ANAPC4,ANAPC4,1.0
ANGEL2,ANGEL2,1.0
ANGPT1,ANGPT1,1.0
ANGPT2,ANGPT2,0.9999999999997256
ANGPTL1,ANGPTL1,0.9999999999998882
ANGPTL2,ANGPTL2,0.9999999999999307
ANGPTL3,ANGPTL3,0.9999999999997226
ANGPTL4,ANGPTL4,0.9999999999998098
ANGPTL6,ANGPTL6,1.0
ANK1,ANK1,1.0
ANK2-AS1,ANK2-AS1,1.0
ANKAR,ANKAR,1.0
ANKDD1A,ANKDD1A,0.9999999999999518
ANKDD1B,ANKDD1B,0.9999999999997321
ANKH,ANKH,0.9999999999997615
ANKHD1-DT,ANKHD1-DT,0.9999999999998451
ANKLE1,ANKLE1,1.0
ANKLE2,ANKLE2,1.0
ANKMY1,ANKMY1,0.9999999999998416
ANKRA2,ANKRA2,0.9999999999998459
ANKRD1,ANKRD1,1.0
NEAT1,ANKRD10,0.40924842831583724
ANKRD10,ANKRD10,0.9999999999999188
ANKRD10-IT1,ANKRD10-IT1,0.9999999999998864
ANKRD12,ANKRD12,0.9999999999999469
ANKRD13C,ANKRD13C,0.9999999999998305
ANKRD13D,ANKRD13D,0.9999999999998255
ANKRD16,ANKRD16,1.0
IFITM3,ANKRD17,0.4046172329877369
DLG1,ANKRD17,0.4061764020621874
MRTFA,ANKRD17,0.4065304105391747
NXN,ANKRD17,0.4065754647804771
EPSTI1,ANKRD17,0.4066201530220209
